Gene	sidak	holm-sidak	holm	simes-hochberg	hommel	fdr_bh	fdr_by	fdr_tsbh	fdr_tsbky	log2FC
4933429F08Rik	2.5751992654e-05	2.4583177456e-05	2.45834791103e-05	2.45822996505e-05	2.33014063859e-05	2.58519850861e-08	2.73215727995e-07	1.14270178651e-08	1.2137610008e-08	-0.416
Faim3	1.0	1.0	1.0	0.5	0.5	0.358666264	1.0	0.158536599517	0.168395240094	0.0247
Srcrb4d	1.0	1.0	1.0	0.5	0.5	0.0993300671987	1.0	0.0439055820525	0.0466358623415	-0.064575
Olfr282	1.0	1.0	1.0	0.5	0.5	0.0193259439192	0.204245508401	0.00854239648093	0.00907360767645	-0.111125
Mpeg1	0.302068202253	0.252889087159	0.291539226154	0.291522755011	0.18556389389	8.69513854353e-05	0.000918942432961	3.84339938095e-05	4.08240219293e-05	-0.445875
Krt24	0.999991461848	0.999697512537	1.0	0.5	0.5	0.00174492512562	0.0184411752872	0.000771286634944	0.000819249299328	0.132775
Papolb	0.000837661394767	0.000772466093027	0.00077276458476	0.00077276458476	0.000693968235673	4.91467990274e-07	5.19406089326e-06	2.17237225159e-07	2.30746179742e-07	0.207825
Mzf1	0.999999997723	0.999998388463	1.0	0.5	0.5	0.00275665923766	0.0291336490387	0.00121849035004	0.0012942624963	0.1489
Eif2c1	1.0	1.0	1.0	0.5	0.5	0.0136231916986	0.143976186941	0.00602168283791	0.0063961427856	0.087775
Fam71e1	1.0	1.0	1.0	0.5	0.5	0.00887766597025	0.0938232775117	0.0039240796134	0.00416809954708	0.1562
Polr1c	0.999999999997	0.999999973971	1.0	0.5	0.5	0.00353491945706	0.0373586627738	0.00156249462673	0.00165965877037	0.124225
Kcnh8	1.0	1.0	1.0	0.5	0.5	0.0127128398393	0.134355167698	0.00561929180585	0.00596872896027	0.05915
Slc9a6	1.0	1.0	1.0	0.5	0.5	0.449575038065	1.0	0.198719826526	0.211077271753	-0.03015
Fam65c	1.0	1.0	1.0	0.5	0.5	0.0622441200394	0.657824631778	0.0275129615508	0.0292238623771	-0.0568
Fcrl6	1.0	1.0	1.0	0.5	0.5	0.0193259439192	0.204245508401	0.00854239648093	0.00907360767645	0.0721
Nlrp1b	2.84584755761e-09	2.83346524022e-09	2.83364601855e-09	2.83364601855e-09	2.8073144105e-09	2.93418561865e-11	3.10098298913e-10	1.29696003507e-11	1.37761183955e-11	-0.324475
Pkd2l1	0.862383514158	0.778617844437	1.0	0.5	0.5	0.000378249606608	0.00399751668156	0.000167192770604	0.00017758969748	0.17715
Sfrs17b	1.0	1.0	1.0	0.5	0.5	0.3795463996	1.0	0.167765975201	0.178198546957	0.013925
Slc25a43	0.466770332552	0.393878696574	0.500667932806	0.5	0.289485997157	0.000141112290772	0.00149133991544	6.23740367426e-05	6.62527827949e-05	0.1658
Pax6	1.0	1.0	1.0	0.5	0.5	0.468121848008	1.0	0.206917832515	0.219785072923	-0.018775
Cul4b	0.063090649234	0.0540342716052	0.0555488556003	0.0555399014029	0.042478712208	2.01774039715e-05	0.000213244131805	8.91875633091e-06	9.47337156374e-06	-0.18965
Tox2	1.0	1.0	1.0	0.5	0.5	0.153007163747	1.0	0.0676317732583	0.0718374730532	0.029125
Zmynd8	1.0	1.0	1.0	0.5	0.5	0.228336382603	1.0	0.100928571426	0.107204841464	-0.0194
Rhox7	1.0	1.0	1.0	0.5	0.5	0.0367042214291	0.387907177915	0.0162238912253	0.017232778213	0.086925
Gm11564	1.0	1.0	1.0	0.5	0.5	0.194911309074	1.0	0.0861541194408	0.0915116362559	-0.076875
Gm11565	1.0	1.0	1.0	0.5	0.5	0.284272940136	1.0	0.125653482882	0.133467278111	-0.022725
Dhx8	1.0	1.0	1.0	0.5	0.5	0.249026478202	1.0	0.110073946191	0.116918923789	-0.02035
Rpl27	1.0	1.0	1.0	0.5	0.5	0.060115118158	0.635324355803	0.026571906446	0.0282242875105	-0.0383125
Zfp334	1.0	1.0	1.0	0.5	0.5	0.216773789444	1.0	0.0958177082498	0.101776157903	-0.0357
Cyth1	1.0	1.0	1.0	0.5	0.5	0.350934978427	1.0	0.155119239571	0.164765370711	-0.0336
Pgap3	1.0	1.0	1.0	0.5	0.5	0.284272940136	1.0	0.125653482882	0.133467278111	-0.0347
Krtap1-3	1.0	1.0	1.0	0.5	0.5	0.0853046832299	0.901539322896	0.0377061233787	0.0400508886824	0.063375
Krtap1-5	0.974948636768	0.934222056425	1.0	0.5	0.5	0.000644295753513	0.00680921533701	0.000284789700337	0.000302499423543	0.141625
Krtap3-1	0.0127702510804	0.0112907523844	0.0113549734732	0.011353796182	0.00944540717216	5.04612793864e-06	5.33298125355e-05	2.23047452303e-06	2.36917717405e-06	0.222825
Meox1	1.0	1.0	1.0	0.5	0.5	0.034174446598	0.361171348158	0.0151056876485	0.0160450388496	0.076775
Zfp385c	1.0	1.0	1.0	0.5	0.5	0.291292606287	1.0	0.12875629492	0.136763039339	-0.049325
Kcnh4	1.0	1.0	1.0	0.5	0.5	0.284272940136	1.0	0.125653482882	0.133467278111	-0.0373
Wfdc11	1.0	1.0	1.0	0.5	0.5	0.0543417428583	0.574308656999	0.0240199761988	0.0255136648027	0.062425
R3hdml	1.0	1.0	1.0	0.5	0.5	0.0838873168197	0.886559939522	0.0370796232769	0.0393854295052	0.0783
Zfp335	0.000713536812663	0.000659175090619	0.000659392432253	0.000659392432253	0.000594172407347	4.28070561215e-07	4.52404755867e-06	1.89214481372e-07	2.00980834185e-07	0.156975
L3mbtl	1.0	1.0	1.0	0.5	0.5	0.265131503786	1.0	0.117192641891	0.124480297474	-0.01915
Arfgef2	1.0	1.0	1.0	0.5	0.5	0.0236916362268	0.250384162668	0.010472106862	0.0111233176104	-0.059605
Znfx1	0.982427018699	0.948661530491	1.0	0.5	0.5	0.00069705964826	0.00736684856583	0.000308112240788	0.00032727228237	-0.145025
Krtap17-1	1.0	1.0	1.0	0.5	0.5	0.101682333916	1.0	0.0449453240186	0.0477402609381	-0.085425
1700081L11Rik	1.0	1.0	1.0	0.5	0.5	0.326440196482	1.0	0.144292128618	0.153264972986	-0.0118375
Mapt	0.00351473847899	0.00317594163979	0.00318099539015	0.00318099539015	0.00275914179892	1.66448785431e-06	1.75910770233e-05	7.35731990564e-07	7.81483679937e-07	0.201525
Smurf2	1.0	1.0	1.0	0.5	0.5	0.00562568164964	0.0594548040414	0.00248664713752	0.00264127995066	-0.10115
Bptf	1.0	1.0	1.0	0.5	0.5	0.301544871786	1.0	0.133287970945	0.141576518843	-0.0124
Tanc2	0.213457485093	0.179071612128	0.197318314109	0.197262981864	0.132974995116	6.15864260307e-05	0.000650873817487	2.72222495934e-05	2.89150724194e-05	0.1373875
Fam171a2	1.30050868963e-08	1.29008508321e-08	1.29001910056e-08	1.29001910056e-08	1.27191273339e-08	7.38887598734e-11	7.80890568064e-10	3.26600907547e-11	3.46910671785e-11	-0.35395
Gpatch8	0.44003116689	0.370329541023	0.462552536967	0.462533393991	0.272112836176	0.000131221192983	0.00138680622203	5.80020029989e-05	6.16088729709e-05	0.090905
4933407P14Rik	1.0	1.0	1.0	0.5	0.5	0.456704390727	1.0	0.20187112187	0.214424531236	0.004725
Fbxo47	0.00162310270476	0.00148263322036	0.0014837333544	0.0014836589557	0.00131574108071	8.57788152801e-07	9.06550169562e-06	3.79156978231e-07	4.02734955693e-07	0.24065
Calcoco2	0.971383957395	0.927670386543	1.0	0.5	0.5	0.000622857629943	0.00658264733774	0.000275313684464	0.000292434139104	0.11175
Cdc27	1.0	1.0	1.0	0.5	0.5	0.0334952265977	0.353993037238	0.0148054608361	0.0157261423531	-0.071925
Cdr2l	1.0	1.0	1.0	0.5	0.5	0.0772821621678	0.816753612049	0.0341600323844	0.0362842830772	0.058475
Zfp69	1.0	1.0	1.0	0.5	0.5	0.0812215598822	0.858386988009	0.0359013132923	0.038133846001	-0.07155
Zmym4	1.0	1.0	1.0	0.5	0.5	0.171132494686	1.0	0.0756434783465	0.0803473881517	0.0509
2610305D13Rik	1.0	1.0	1.0	0.5	0.5	0.355680446943	1.0	0.157216817507	0.166993387088	0.059875
Gm13251//Gm13251	1.0	1.0	1.0	0.5	0.5	0.131851723459	1.0	0.0582807082122	0.0619049095419	-0.0838
Gm13154	1.0	1.0	1.0	0.5	0.5	0.468121848008	1.0	0.206917832515	0.219785072923	-0.0157
H6pd	0.992835601842	0.972502338549	1.0	0.5	0.5	0.000829134031782	0.00876267169985	0.000366491368541	0.000389281731698	0.108675
Prdm2	1.0	1.0	1.0	0.5	0.5	0.0119919487119	0.126736457045	0.00530064564526	0.00563026770349	0.0819
Rlf	1.0	1.0	1.0	0.5	0.5	0.33774453376	1.0	0.149288838294	0.158572404381	-0.01005
Clcn6	1.0	1.0	1.0	0.5	0.5	0.0779167222718	0.823459936542	0.0344405187618	0.0365822115744	0.069725
Mthfr	0.0751635040123	0.0641263290384	0.0662746599453	0.0662675024681	0.050012871793	2.35414087354e-05	0.0002487964891	1.04057037513e-05	1.10527852046e-05	0.196925
Mycbp	1.0	1.0	1.0	0.5	0.5	0.270635440558	1.0	0.119625475718	0.127064417719	-0.0272
Ermap	1.0	1.0	1.0	0.5	0.5	0.0299619387061	0.316651617602	0.0132436873891	0.0140672496092	-0.058825
Lepre1	1.0	1.0	1.0	0.5	0.5	0.0249833232264	0.264035307939	0.0110430545231	0.0117297698036	0.0742
Rnf19b	0.00035302119001	0.000328950379075	0.000329004492758	0.000328988321488	0.000300704769862	2.36307115659e-07	2.49740282691e-06	1.04451771239e-07	1.10947132394e-07	-0.26305
Yars	1.0	1.0	1.0	0.5	0.5	0.370536033933	1.0	0.163783240061	0.173968144374	-0.005025
C77080	1.0	1.0	1.0	0.5	0.5	0.101682333916	1.0	0.0449453240186	0.0477402609381	-0.051025
Rere	0.363657056107	0.304728242447	0.363448729628	0.363448729628	0.22352611844	0.000105424604812	0.00111417595424	4.65994715143e-05	4.94972720354e-05	-0.100375
OTTMUSG00000009332	3.66222213444e-07	3.59177544484e-07	3.59176845687e-07	3.59143299703e-07	3.50085884149e-07	8.65771872881e-10	9.14987733976e-09	3.8268591853e-10	4.06483344082e-10	-0.313275
Cd300c	1.0	1.0	1.0	0.5	0.5	0.295777258817	1.0	0.130738587746	0.138868601572	0.0452
Miip	1.0	1.0	1.0	0.5	0.5	0.109803921845	1.0	0.0485352042559	0.051553378832	-0.11105
Rab3b	7.46290518716e-07	7.29405505329e-07	7.29405781393e-07	7.29405781393e-07	7.08795111938e-07	1.50538630696e-09	1.59096183291e-08	6.65406395918e-10	7.06784869497e-10	0.329875
1700012P22Rik	2.73189599298e-06	2.64819002982e-06	2.64819301426e-06	2.64806789293e-06	2.55535298513e-06	4.07138477806e-09	4.30282762573e-08	1.79962143872e-09	1.91153137618e-09	0.30735
6330545A04Rik	0.639567046009	0.549826759761	0.798104141468	0.5	0.401318748187	0.000214042970173	0.00226210504622	9.46106396054e-05	0.000100494027374	0.177375
Sfrs4	1.0	1.0	1.0	0.5	0.5	0.0529463622289	0.559561629518	0.0234031941866	0.0248585280371	-0.056325
H3f3a	1.0	1.0	1.0	0.5	0.5	0.091811809476	0.970309640865	0.0405823840457	0.0431060103834	0.0390875
Trim47	1.0	1.0	1.0	0.5	0.5	0.16139010166	1.0	0.0713371746416	0.0757732958064	0.0432
Itgb4	0.654218204942	0.563651929698	0.82929486024	0.5	0.411032898961	0.000221703017818	0.00234305997045	9.79965111737e-05	0.000104090450266	0.147225
Fbf1	1.0	1.0	1.0	0.5	0.5	0.00957238471667	0.101165386345	0.00423115713569	0.00449427276671	0.12195
Rbbp4	1.0	1.0	1.0	0.5	0.5	0.30285355524	1.0	0.133866431328	0.142190950939	0.02245
Hivep3	0.00476549509988	0.00428286760619	0.00429206488454	0.00429206488454	0.00369107078535	2.15466204435e-06	2.27714644376e-05	9.52397333975e-07	1.01162241531e-06	0.1864375
Camta1	1.0	1.0	1.0	0.5	0.5	0.0903758194879	0.955133434911	0.039947652005	0.0424318073621	-0.02898125
0610037L13Rik	0.900654639461	0.825138789244	1.0	0.5	0.5	0.000431326056072	0.00455845313311	0.000190653465565	0.000202509301992	-0.11205
Chd5	1.0	1.0	1.0	0.5	0.5	0.480813059106	1.0	0.212527564048	0.225743647103	0.00945
Ptprf	1.0	1.0	1.0	0.5	0.5	0.069749769835	0.737147808166	0.0308305866391	0.0327477948632	-0.07705
Oog2	1.0	1.0	1.0	0.5	0.5	0.305654044831	1.0	0.135104295441	0.143505791961	-0.00145
Gm13023	0.000476446689906	0.000442434779653	0.000442532679074	0.000442489026036	0.00040230640398	3.03237266192e-07	3.20475159497e-06	1.34036038106e-07	1.4237110476e-07	-0.1481625
Gm13152	1.0	1.0	1.0	0.5	0.5	0.0328263419337	0.346923954929	0.0145098024184	0.0154120983381	0.256625
Zcchc11	1.0	1.0	1.0	0.5	0.5	0.0212996157569	0.225104184675	0.00941479305989	0.0100002544685	-0.14385
Tmem201	1.0	1.0	1.0	0.5	0.5	0.0104131745867	0.110051242331	0.00460280058332	0.00488902696091	-0.074
Csf3r	1.0	1.0	1.0	0.5	0.5	0.0144098341012	0.152289787463	0.00636939218243	0.00676547452812	-0.096425
Osbpl9	1.0	1.0	1.0	0.5	0.5	0.388721745414	1.0	0.171821634377	0.182506408377	-0.013
Prdm16	0.00131676408542	0.00120731096257	0.00120804031383	0.00120791961842	0.00107539606317	7.24371490951e-07	7.65549274379e-06	3.20184540587e-07	3.4009530134e-07	-0.175675
Cyp4a12b	1.0	0.999999999309	1.0	0.5	0.5	0.00421162532559	0.0445104031873	0.0018616101501	0.00197737487205	0.421575
Nipal3	5.15064457751e-08	5.088602828e-08	5.08867480719e-08	5.08867480719e-08	4.99242617146e-08	1.94422246483e-10	2.05474416895e-09	8.59379454434e-11	9.12820194211e-11	-0.390625
A330049M08Rik	1.0	1.0	1.0	0.5	0.5	0.0470307996694	0.497043230029	0.0207884147481	0.0220811478442	0.07625
1700024P16Rik	1.0	1.0	1.0	0.5	0.5	0.018305580118	0.193461832105	0.00809137829616	0.008594542806	0.1365
Dmrta2	1.0	1.0	1.0	0.5	0.5	0.145908919369	1.0	0.064494228306	0.0685048190342	0.0474
Sec14l1	0.0113078350272	0.0100221720669	0.0100727295078	0.0100716878067	0.00841902889315	4.53834309541e-06	4.7963307598e-05	2.00602497086e-06	2.13077016683e-06	-0.1308
BC059842	1.0	1.0	1.0	0.5	0.5	0.122770840633	1.0	0.0542668032863	0.0576413988714	0.0310761363636
Mpl	1.0	1.0	1.0	0.5	0.5	0.349539657527	1.0	0.15450248396	0.164110261988	-0.006725
1810019J16Rik	1.0	1.0	1.0	0.5	0.5	0.272054255537	1.0	0.120252616112	0.127730557005	0.03245
Fam159a	0.252468867065	0.211496517503	0.237616872628	0.237590219025	0.156096827207	7.25764043239e-05	0.000767020988005	3.20800072424e-05	3.40749110188e-05	0.19435
Gm884	1.0	1.0	1.0	0.5	0.5	0.103307919567	1.0	0.0456638605727	0.0485034798788	-0.0625
Dmrtb1	1.0	1.0	1.0	0.5	0.5	0.0970591854389	1.0	0.0429018136242	0.0455696743067	0.07295
Gm13242	1.0	1.0	1.0	0.5	0.5	0.0115857533044	0.122443596223	0.00512110035454	0.00543955734116	-0.16665
Cnksr1	1.0	1.0	1.0	0.5	0.5	0.0585253743173	0.618523208065	0.025869212583	0.0274778964428	0.04565
Pdik1l	1.0	1.0	1.0	0.5	0.5	0.285608465182	1.0	0.126243807707	0.134094312442	0.0451
Trim63	0.999981585851	0.999500172982	1.0	0.5	0.5	0.00164482676311	0.0173832895235	0.000727041453273	0.000772252719275	0.150725
B930041F14Rik	0.994557274732	0.977240032112	1.0	0.5	0.5	0.000869365072293	0.00918785193203	0.00038427417389	0.000408170365524	-0.153225
Tbkbp1	0.999999513916	0.999952031547	1.0	0.5	0.5	0.00210237899181	0.0222189129715	0.000929287333974	0.000987075313819	-0.15075
Kctd2	1.0	1.0	1.0	0.5	0.5	0.0436528597028	0.461343599072	0.0192953077307	0.0204951915701	0.0945
Slc16a5	1.0	1.0	1.0	0.5	0.5	0.0268259989631	0.283509556867	0.0118575485936	0.0125949134043	-0.341325
Dmd	1.5443692214e-08	1.53128374425e-08	1.53117200415e-08	1.53117200415e-08	1.50861004428e-08	8.23877883861e-11	8.70712229906e-10	3.64168061608e-11	3.86813949306e-11	0.21175
1110005A03Rik	1.0	1.0	1.0	0.5	0.5	0.448091492457	1.0	0.198064074091	0.210380741179	-0.03055
Guca2b	1.0	1.0	1.0	0.5	0.5	0.48447967174	1.0	0.214148269303	0.227465136345	0.0391
4932438A13Rik	1.0	1.0	1.0	0.5	0.5	0.00866241493747	0.0915484051014	0.00382893498954	0.0040670383295	0.141381578947
Obscn	1.0	1.0	1.0	0.5	0.5	0.472218114845	1.0	0.208728452247	0.221708286525	0.0024125
Qrich2	1.0	1.0	1.0	0.5	0.5	0.432652256323	1.0	0.191239668672	0.203131958295	-0.0104
Klhl15	1.0	1.0	1.0	0.5	0.5	0.278793746687	1.0	0.123231586025	0.130894774954	0.01565
Sh3pxd2b	0.81132147167	0.721101422757	1.0	0.5	0.5	0.000325383745283	0.00343880582281	0.000143825159189	0.000152768964938	-0.182725
Arhgap27	1.0	1.0	1.0	0.5	0.5	0.0195407636329	0.206515822431	0.00863735045437	0.00917446638797	-0.071525
Tbc1d16	1.0	1.0	1.0	0.5	0.5	0.140364290547	1.0	0.0620434078993	0.0659015937092	0.045
Myom3	1.0	1.0	1.0	0.5	0.5	0.465247257903	1.0	0.205647214712	0.218435441415	0.02825
Med14	1.0	1.0	1.0	0.5	0.5	0.01080115356	0.114151583457	0.00477429389976	0.0050711846348	-0.068525
Stra13	0.00210474464887	0.00191540864034	0.00191724528812	0.00191714878896	0.00168796328668	1.06877567925e-06	1.12953154002e-05	4.72417059651e-07	5.01794440063e-07	-0.234225
Suv39h1	0.999912135976	0.998599218676	1.0	0.5	0.5	0.00144098671691	0.0152290136939	0.000636940679896	0.000676549005359	-0.1528
Taf4a	0.000732671513992	0.000676617661603	0.000676846659341	0.000676846659341	0.000609574889003	4.37902793663e-07	4.62795913596e-06	1.93560495633e-07	2.05597106497e-07	0.14785
Dnaic2	1.0	1.0	1.0	0.5	0.5	0.0167541742292	0.177065857564	0.00740563046103	0.00786615155948	0.098375
2310003H01Rik	0.999999999998	0.999999979686	1.0	0.5	0.5	0.00358140136698	0.0378499050832	0.00158304042286	0.00168148221229	-0.121175
Trim45	1.0	1.0	1.0	0.5	0.5	0.278793746687	1.0	0.123231586025	0.130894774954	0.028475
Stx16	1.0	1.0	1.0	0.5	0.5	0.057429523533	0.606941750439	0.0253848278656	0.0269633901331	-0.03425
Ttc39a	0.312619338718	0.261793893886	0.30352961142	0.303493080713	0.192084662953	9.01063532556e-05	0.000952285591211	3.98285433393e-05	4.23052918923e-05	-0.3456
Col9a3	1.0	1.0	1.0	0.5	0.5	0.239917119547	1.0	0.106047454463	0.112642043604	-0.061325
9830001H06Rik	1.0	1.0	1.0	0.5	0.5	0.0392363045149	0.414667402374	0.0173431150899	0.0184216013112	-0.094375
Olfr62	0.00025335545586	0.000237007762785	0.000237035852165	0.000237035852165	0.000217910511437	1.79469428766e-07	1.89671587965e-06	7.93285452515e-08	8.42616119216e-08	0.227325
Olfr1338	1.0	1.0	1.0	0.5	0.5	0.0236916362268	0.250384162668	0.010472106862	0.0111233176104	-0.067475
Olfr1337	0.999936647965	0.99887128937	1.0	0.5	0.5	0.00148342766596	0.0156775492611	0.000655700302474	0.000696475200052	0.1699
Frmd7	1.0	1.0	1.0	0.5	0.5	0.0896313245796	0.947265268591	0.0396185725711	0.0420822640361	0.0469
Pusl1	1.0	1.0	1.0	0.5	0.5	0.378161845071	1.0	0.167153978509	0.177548493089	-0.00505
Fam131c	1.0	1.0	1.0	0.5	0.5	0.0766142133661	0.809694420366	0.0338647876338	0.0359706784532	-0.145525
Slc25a34	1.0	1.0	1.0	0.5	0.5	0.0055487249105	0.0586414896503	0.00245263094766	0.00260514845499	0.102325
Magt1	0.987089634808	0.95861538489	1.0	0.5	0.5	0.000743458518782	0.00785721327653	0.000328621332086	0.000349056736961	-0.18705
Zfp831	1.0	0.999999999999	1.0	0.5	0.5	0.00541184158075	0.0571948433497	0.00239212618374	0.00254088118625	-0.1589
Rpgr	1.0	1.0	1.0	0.5	0.5	0.018305580118	0.193461832105	0.00809137829616	0.008594542806	-0.12595
Dgat2l6	1.0	1.0	1.0	0.5	0.5	0.173394479509	1.0	0.076643314177	0.081409399039	0.035025
Awat1	1.0	0.999999999961	1.0	0.5	0.5	0.00474167839016	0.0501122489809	0.0020959026355	0.00222623689792	-0.1102
Ddi2	1.0	1.0	1.0	0.5	0.5	0.30285355524	1.0	0.133866431328	0.142190950939	0.009175
Iqcc	0.213436545358	0.179071612128	0.197318314109	0.197262981864	0.132960251526	6.15864260307e-05	0.000650873817487	2.72222495934e-05	2.89150724194e-05	-0.156775
Spaca5	1.90005151501e-07	1.8688104042e-07	1.86881407353e-07	1.86881407353e-07	1.82486757262e-07	5.26473629248e-10	5.56401666665e-09	2.32710314e-10	2.47181466724e-10	0.314175
Ampd2	0.000463588358571	0.000430727673243	0.000430820458876	0.000430799221547	0.000391743773264	2.97701672723e-07	3.14624888447e-06	1.3158921148e-07	1.39772121569e-07	-0.183625
Amigo1	0.99999976975	0.999969998092	1.0	0.5	0.5	0.00219267261103	0.023173177676	0.000969198652059	0.00102946852783	0.124575
Cyb561d1	1.0	1.0	1.0	0.5	0.5	0.164506914471	1.0	0.072714859007	0.0772366518402	-0.051375
Fndc7	0.301881367596	0.252788453362	0.291404540855	0.291388081971	0.18545383041	8.69513854353e-05	0.000918942432961	3.84339938095e-05	4.08240219293e-05	0.195075
Ofd1	0.101450550225	0.0860213961751	0.0899478968389	0.0899478968389	0.066180957051	3.07696600288e-05	0.000325187989895	1.36007139754e-05	1.44464779887e-05	-0.211725
1700008I05Rik	1.0	1.0	1.0	0.5	0.5	0.258386876803	1.0	0.114211401852	0.12131366823	-0.03275
Clcc1	1.0	1.0	1.0	0.5	0.5	0.0488251480506	0.516006733127	0.021581547304	0.022923601559	0.05155
OTTMUSG00000017864	1.65398147689e-06	1.60860572773e-06	1.60860632296e-06	1.60853057037e-06	1.55664004382e-06	2.75205012724e-09	2.90849378293e-08	1.2164530447e-09	1.29209850059e-09	-0.236025
Dgkk	1.0	1.0	1.0	0.5	0.5	0.00766241087092	0.0809798998926	0.0033869161544	0.00359753243562	-0.102025
Mcf2	1.0	1.0	1.0	0.5	0.5	0.0217260127496	0.229610545188	0.00960326779547	0.0102004495556	-0.092775
Ccdc120	1.0	1.0	1.0	0.5	0.5	0.164506914471	1.0	0.072714859007	0.0772366518402	0.03455
Tcfe3	1.0	1.0	1.0	0.5	0.5	0.361541695058	1.0	0.159807589036	0.169745266433	-0.009875
Fhl1	1.0	1.0	1.0	0.5	0.5	0.0152664209069	0.161342592767	0.00674801814475	0.00716764544654	0.087
Mtap7d3	0.433295298674	0.364481398241	0.453308022273	0.453275884565	0.267776342053	0.000128790711909	0.00136111977459	5.69276889545e-05	6.04677524221e-05	-0.133
Mcart6	1.0	1.0	1.0	0.5	0.5	0.366082403794	1.0	0.16181465966	0.171877147278	0.00495
Tmsb15b1-Tmsb15b2	1.0	1.0	1.0	0.5	0.5	0.343471565807	1.0	0.151820284034	0.161261268747	-0.0183
Dock11	1.0	1.0	1.0	0.5	0.5	0.0254924503403	0.269415998614	0.0112680973818	0.0119688070123	0.155375
BC023829	0.108033191399	0.0915491798802	0.0960142743223	0.0959943033293	0.0702376907685	3.26443951624e-05	0.000345001057348	1.44293788455e-05	1.5326673604e-05	-0.191875
1110059M19Rik	0.732858537043	0.639934854798	1.0	0.5	0.462225821844	0.000266698063639	0.00281858841282	0.000117885088036	0.000125215803567	-0.14505
Stag2	1.0	0.999999998307	1.0	0.5	0.5	0.00404227393324	0.0427206193933	0.00178675394933	0.00189786371854	0.129675
Gtpbp5	1.0	1.0	1.0	0.5	0.5	0.40602283222	1.0	0.179469009515	0.190629337571	0.020425
